YEAR,Geopolitical entity (reporting),Index,OBS_VALUE
2016,Ireland,Agricultural commodity price index,46.91755952380952
2016,Ireland,Harmonised index of consumer prices,52.084375
2016,Ireland,Import price index,50.022275641025644
2016,Ireland,Producer price index,51.57916666666667
2016,Italy,Agricultural commodity price index,48.42807971014493
2016,Italy,Harmonised index of consumer prices,50.43878205128205
2016,Italy,Import price index,50.70128205128205
2016,Italy,Producer price index,51.76574074074074
2016,Latvia,Agricultural commodity price index,51.75396825396825
2016,Latvia,Harmonised index of consumer prices,51.63217013888889
2016,Latvia,Import price index,49.866025641025644
2016,Lithuania,Agricultural commodity price index,49.984883720930235
2016,Lithuania,Harmonised index of consumer prices,53.53763458401305
2016,Lithuania,Import price index,53.52475884244373
2016,Lithuania,Producer price index,51.97166666666667
2016,Luxembourg,Agricultural commodity price index,48.21176470588236
2016,Luxembourg,Harmonised index of consumer prices,51.63192307692308
2016,Luxembourg,Import price index,51.44663461538462
2016,Malta,Agricultural commodity price index,52.723437499999996
2016,Malta,Harmonised index of consumer prices,71.64872767857143
2016,Malta,Import price index,51.479614767255214
2016,Netherlands,Agricultural commodity price index,48.06979166666667
2016,Netherlands,Harmonised index of consumer prices,51.51576923076923
2016,Netherlands,Import price index,51.850160256410255
2016,Netherlands,Producer price index,53.42368421052632
2016,Norway,Harmonised index of consumer prices,55.859375
2016,Norway,Producer price index,57.00416666666667
2016,Poland,Agricultural commodity price index,51.801249999999996
2016,Poland,Harmonised index of consumer prices,51.79358974358974
2016,Poland,Import price index,57.74391025641025
2016,Poland,Producer price index,56.282666666666664
2016,Portugal,Agricultural commodity price index,51.34819277108434
2016,Portugal,Harmonised index of consumer prices,50.98509615384616
2016,Portugal,Import price index,50.61554487179487
2016,Portugal,Producer price index,49.651666666666664
2016,Romania,Agricultural commodity price index,50.814232209737824
2016,Romania,Harmonised index of consumer prices,50.888046875
2016,Romania,Import price index,54.886057692307695
2016,Romania,Producer price index,54.95087719298245
2016,Slovakia,Agricultural commodity price index,53.71072796934866
2016,Slovakia,Harmonised index of consumer prices,66.60526436781609
2016,Slovakia,Import price index,51.66955128205128
2016,Slovakia,Producer price index,
2016,Slovenia,Agricultural commodity price index,47.480681818181814
2016,Slovenia,Harmonised index of consumer prices,50.800133333333335
2016,Slovenia,Import price index,51.394711538461536
2016,Slovenia,Producer price index,51.66519607843138
2016,Spain,Agricultural commodity price index,47.70585106382978
2016,Spain,Harmonised index of consumer prices,71.49002232142857
2016,Spain,Import price index,51.55721153846154
2016,Spain,Producer price index,52.170061728395055
2016,Sweden,Agricultural commodity price index,50.666056910569104
2016,Sweden,Harmonised index of consumer prices,51.724469820554646
2016,Sweden,Import price index,52.20032051282051
2016,Sweden,Producer price index,66.81130952380951
2016,Switzerland,Harmonised index of consumer prices,50.31068333333333
2016,Switzerland,Producer price index,49.775
2017,Austria,Agricultural commodity price index,56.17078651685394
2017,Austria,Harmonised index of consumer prices,53.9047
2017,Austria,Import price index,58.01378205128205
2017,Austria,Producer price index,51.65416666666667
2017,Belgium,Agricultural commodity price index,67.60422222222222
2017,Belgium,Harmonised index of consumer prices,53.200096153846154
2017,Belgium,Import price index,58.21330128205128
2017,Belgium,Producer price index,54.550000000000004
2017,Bulgaria,Agricultural commodity price index,52.827976190476186
2017,Bulgaria,Harmonised index of consumer prices,54.02814102564102
2017,Bulgaria,Import price index,61.26650641025641
2017,Bulgaria,Producer price index,51.25433333333333
2017,Croatia,Agricultural commodity price index,54.10514184397163
2017,Croatia,Harmonised index of consumer prices,54.20897435897436
2017,Croatia,Import price index,55.211378205128206
2017,Croatia,Producer price index,53.21590909090909
2017,Cyprus,Agricultural commodity price index,53.042405063291135
2017,Cyprus,Harmonised index of consumer prices,49.54995192307692
2017,Cyprus,Import price index,57.74541062801933
2017,Czechia,Agricultural commodity price index,56.46060606060606
2017,Czechia,Harmonised index of consumer prices,56.671
2017,Czechia,Import price index,55.65096153846154
2017,Czechia,Producer price index,50.134375
2017,Denmark,Agricultural commodity price index,57.696913580246914
2017,Denmark,Harmonised index of consumer prices,53.891185897435896
2017,Denmark,Import price index,59.48798076923077
2017,Denmark,Producer price index,52.175000000000004
2017,Estonia,Harmonised index of consumer prices,59.258950000000006
2017,Estonia,Import price index,57.63413461538461
2017,Euro area - 19 countries  (2015-2022),Harmonised index of consumer prices,72.1386607142857
2017,Euro area - 19 countries  (2015-2022),Producer price index,2.956410256410256
2017,European Union - 27 countries (from 2020),Agricultural commodity price index,57.66336805555555
2017,European Union - 27 countries (from 2020),Harmonised index of consumer prices,72.47290178571428
2017,European Union - 27 countries (from 2020),Producer price index,55.07098765432099
2017,Finland,Agricultural commodity price index,53.75511363636364
2017,Finland,Harmonised index of consumer prices,68.12381516587678
2017,Finland,Import price index,56.56801292407108
2017,Finland,Producer price index,53.57833333333333
2017,France,Agricultural commodity price index,56.09384057971015
2017,France,Harmonised index of consumer prices,51.557788461538465
2017,France,Import price index,60.24711538461538
2017,France,Producer price index,53.607716049382724
2017,Germany,Agricultural commodity price index,61.96298449612404
2017,Germany,Harmonised index of consumer prices,55.84535256410256
2017,Germany,Import price index,56.99278846153846
2017,Germany,Producer price index,55.398456790123454
2017,Greece,Agricultural commodity price index,49.225
2017,Greece,Harmonised index of consumer prices,51.1879967948718
2017,Greece,Import price index,57.690224358974355
2017,Greece,Producer price index,51.001666666666665
2017,Hungary,Agricultural commodity price index,56.893103448275866
2017,Hungary,Harmonised index of consumer prices,53.48923333333334
2017,Hungary,Import price index,61.08157051282051
2017,Hungary,Producer price index,52.95208333333333
2017,Iceland,Harmonised index of consumer prices,48.29333333333334
2017,Ireland,Agricultural commodity price index,60.58601190476191
2017,Ireland,Harmonised index of consumer prices,67.83995535714286
2017,Ireland,Import price index,54.440224358974355
2017,Ireland,Producer price index,52.15833333333333
2017,Italy,Agricultural commodity price index,54.71938405797101
2017,Italy,Harmonised index of consumer prices,51.70032051282051
2017,Italy,Import price index,59.10096153846154
2017,Italy,Producer price index,54.91635802469136
2017,Latvia,Agricultural commodity price index,66.48472222222223
2017,Latvia,Harmonised index of consumer prices,57.70758680555556
2017,Latvia,Import price index,58.99855769230769
2017,Lithuania,Agricultural commodity price index,65.48449612403101
2017,Lithuania,Harmonised index of consumer prices,56.63793269230769
2017,Lithuania,Import price index,60.90674157303371
2017,Lithuania,Producer price index,54.97416666666666
2017,Luxembourg,Agricultural commodity price index,57.53333333333333
2017,Luxembourg,Harmonised index of consumer prices,54.11097756410256
2017,Luxembourg,Import price index,55.27932692307693
2017,Malta,Agricultural commodity price index,49.45208333333333
2017,Malta,Harmonised index of consumer prices,53.67733333333334
2017,Malta,Import price index,59.92799352750809
2017,Netherlands,Agricultural commodity price index,60.291666666666664
2017,Netherlands,Harmonised index of consumer prices,55.86775641025641
2017,Netherlands,Import price index,58.71554487179487
2017,Netherlands,Producer price index,55.56929824561403
2017,Norway,Harmonised index of consumer prices,71.79732142857144
2017,Norway,Producer price index,57.46111111111111
2017,Poland,Agricultural commodity price index,70.41499999999999
2017,Poland,Harmonised index of consumer prices,56.11009615384615
2017,Poland,Import price index,59.32772435897436
2017,Poland,Producer price index,57.492666666666665
2017,Portugal,Agricultural commodity price index,53.33714859437751
2017,Portugal,Harmonised index of consumer prices,51.929342948717945
2017,Portugal,Import price index,54.91041666666666
2017,Portugal,Producer price index,53.435833333333335
2017,Romania,Agricultural commodity price index,54.51460674157303
2017,Romania,Harmonised index of consumer prices,70.89591517857143
2017,Romania,Import price index,64.13589743589743
2017,Romania,Producer price index,55.14605263157895
2017,Slovakia,Agricultural commodity price index,57.964942528735634
2017,Slovakia,Harmonised index of consumer prices,53.49941666666667
2017,Slovakia,Import price index,58.26314102564102
2017,Slovakia,Producer price index,
2017,Slovenia,Agricultural commodity price index,56.83882575757576
2017,Slovenia,Harmonised index of consumer prices,52.0992
2017,Slovenia,Import price index,56.30769230769231
2017,Slovenia,Producer price index,52.42009803921569
2017,Spain,Agricultural commodity price index,52.3645390070922
2017,Spain,Harmonised index of consumer prices,51.85733974358974
2017,Spain,Import price index,58.91891025641026
2017,Spain,Producer price index,55.056172839506175
2017,Sweden,Agricultural commodity price index,60.39390243902439
2017,Sweden,Harmonised index of consumer prices,53.90160256410256
2017,Sweden,Import price index,61.90592948717949
2017,Sweden,Producer price index,69.32202380952381
2017,Switzerland,Harmonised index of consumer prices,50.600849999999994
2017,Switzerland,Producer price index,49.47083333333333
2018,Austria,Agricultural commodity price index,54.984644194756555
2018,Austria,Harmonised index of consumer prices,54.093983333333334
2018,Austria,Import price index,54.7536858974359
2018,Austria,Producer price index,51.2875
2018,Belgium,Agricultural commodity price index,64.94622222222222
2018,Belgium,Harmonised index of consumer prices,55.404519230769225
2018,Belgium,Import price index,54.36971153846154
2018,Belgium,Producer price index,53.30416666666667
2018,Bulgaria,Agricultural commodity price index,51.13125
2018,Bulgaria,Harmonised index of consumer prices,53.88910256410257
2018,Bulgaria,Import price index,55.47788461538461
2018,Bulgaria,Producer price index,55.735
2018,Croatia,Agricultural commodity price index,52.49219858156028
2018,Croatia,Harmonised index of consumer prices,53.661634615384614
2018,Croatia,Import price index,51.29407051282051
2018,Croatia,Producer price index,53.95151515151515
2018,Cyprus,Agricultural commodity price index,53.662236286919835
2018,Cyprus,Harmonised index of consumer prices,51.747516025641026
2018,Cyprus,Import price index,54.401765650080264
2018,Czechia,Agricultural commodity price index,52.51051587301587
2018,Czechia,Harmonised index of consumer prices,53.92583333333334
2018,Czechia,Import price index,50.98621794871795
2018,Czechia,Producer price index,48.83020833333333
2018,Denmark,Agricultural commodity price index,51.234848484848484
2018,Denmark,Harmonised index of consumer prices,52.08862179487179
2018,Denmark,Import price index,55.676442307692305
2018,Denmark,Producer price index,50.225
2018,Estonia,Harmonised index of consumer prices,58.40413333333334
2018,Estonia,Import price index,54.16955128205129
2018,Euro area - 19 countries  (2015-2022),Harmonised index of consumer prices,53.2594391025641
2018,Euro area - 19 countries  (2015-2022),Producer price index,-1.210897435897436
2018,European Union - 27 countries (from 2020),Agricultural commodity price index,54.188541666666666
2018,European Union - 27 countries (from 2020),Harmonised index of consumer prices,53.363846153846154
2018,European Union - 27 countries (from 2020),Producer price index,52.52160493827161
2018,Finland,Agricultural commodity price index,52.90340909090909
2018,Finland,Harmonised index of consumer prices,52.26557291666667
2018,Finland,Import price index,55.515942028985506
2018,Finland,Producer price index,52.693333333333335
2018,France,Agricultural commodity price index,55.03188405797101
2018,France,Harmonised index of consumer prices,53.308942307692305
2018,France,Import price index,56.983333333333334
2018,France,Producer price index,51.4070987654321
2018,Germany,Agricultural commodity price index,56.59786821705426
2018,Germany,Harmonised index of consumer prices,56.50496794871795
2018,Germany,Import price index,54.43349358974359
2018,Germany,Producer price index,53.05370370370371
2018,Greece,Agricultural commodity price index,49.488068181818186
2018,Greece,Harmonised index of consumer prices,51.57407051282051
2018,Greece,Import price index,52.84839743589744
2018,Greece,Producer price index,49.83833333333334
2018,Hungary,Agricultural commodity price index,55.86724137931034
2018,Hungary,Harmonised index of consumer prices,55.708650000000006
2018,Hungary,Import price index,59.40032051282052
2018,Hungary,Producer price index,53.26145833333334
2018,Iceland,Harmonised index of consumer prices,51.81206666666667
2018,Ireland,Agricultural commodity price index,56.290144927536225
2018,Ireland,Harmonised index of consumer prices,47.31089743589744
2018,Ireland,Import price index,56.23509615384615
2018,Ireland,Producer price index,48.07083333333333
2018,Italy,Agricultural commodity price index,51.166666666666664
2018,Italy,Harmonised index of consumer prices,52.37019230769231
2018,Italy,Import price index,52.51794871794871
2018,Italy,Producer price index,53.516049382716055
2018,Latvia,Agricultural commodity price index,61.87777777777778
2018,Latvia,Harmonised index of consumer prices,55.613697916666666
2018,Latvia,Import price index,53.565916398713824
2018,Lithuania,Agricultural commodity price index,61.68953488372093
2018,Lithuania,Harmonised index of consumer prices,55.70641025641026
2018,Lithuania,Import price index,54.12596153846154
2018,Lithuania,Producer price index,50.75916666666667
2018,Luxembourg,Agricultural commodity price index,52.688235294117646
2018,Luxembourg,Harmonised index of consumer prices,54.77107371794872
2018,Luxembourg,Import price index,55.71842948717949
2018,Malta,Agricultural commodity price index,54.067187499999996
2018,Malta,Harmonised index of consumer prices,54.501016666666665
2018,Malta,Import price index,58.30227642276423
2018,Netherlands,Agricultural commodity price index,54.942708333333336
2018,Netherlands,Harmonised index of consumer prices,56.38067307692308
2018,Netherlands,Import price index,54.48717948717949
2018,Netherlands,Producer price index,55.983333333333334
2018,Norway,Harmonised index of consumer prices,53.67371794871795
2018,Norway,Producer price index,59.17777777777778
2018,Poland,Agricultural commodity price index,63.709375
2018,Poland,Harmonised index of consumer prices,56.30224358974359
2018,Poland,Import price index,57.80160256410256
2018,Poland,Producer price index,53.79666666666667
2018,Portugal,Agricultural commodity price index,54.78112449799197
2018,Portugal,Harmonised index of consumer prices,51.76929487179488
2018,Portugal,Import price index,54.10625
2018,Portugal,Producer price index,52.142500000000005
2018,Romania,Agricultural commodity price index,56.72734082397004
2018,Romania,Harmonised index of consumer prices,54.190625
2018,Romania,Import price index,64.99310897435898
2018,Romania,Producer price index,55.617982456140346
2018,Slovakia,Agricultural commodity price index,49.58295019157088
2018,Slovakia,Harmonised index of consumer prices,53.8444
2018,Slovakia,Import price index,57.59839743589744
2018,Slovakia,Producer price index,
2018,Slovenia,Agricultural commodity price index,52.524431818181824
2018,Slovenia,Harmonised index of consumer prices,54.7692
2018,Slovenia,Import price index,53.93717948717949
2018,Slovenia,Producer price index,51.89068627450981
2018,Spain,Agricultural commodity price index,54.78315602836879
2018,Spain,Harmonised index of consumer prices,53.13057692307693
2018,Spain,Import price index,53.70064102564102
2018,Spain,Producer price index,52.71666666666667
2018,Sweden,Agricultural commodity price index,61.35625
2018,Sweden,Harmonised index of consumer prices,55.55594551282052
2018,Sweden,Import price index,64.9801282051282
2018,Sweden,Producer price index,68.85892857142856
2018,Switzerland,Harmonised index of consumer prices,51.590333333333334
2018,Switzerland,Producer price index,50.02916666666667
2019,Austria,Agricultural commodity price index,55.59906367041199
2019,Austria,Harmonised index of consumer prices,54.08461666666667
2019,Austria,Import price index,56.51810897435898
2019,Austria,Producer price index,52.395833333333336
2019,Belgium,Agricultural commodity price index,65.94622222222222
2019,Belgium,Harmonised index of consumer prices,54.1213141025641
2019,Belgium,Import price index,56.3463141025641
2019,Belgium,Producer price index,55.395833333333336
2019,Bulgaria,Agricultural commodity price index,55.04125
2019,Bulgaria,Harmonised index of consumer prices,56.992868589743594
2019,Bulgaria,Import price index,60.160096153846155
2019,Bulgaria,Producer price index,54.232
2019,Croatia,Agricultural commodity price index,53.186524822695034
2019,Croatia,Harmonised index of consumer prices,52.35975961538462
2019,Croatia,Import price index,54.94663461538461
2019,Croatia,Producer price index,54.55681818181818
2019,Cyprus,Agricultural commodity price index,55.04746835443038
2019,Cyprus,Harmonised index of consumer prices,50.69576923076923
2019,Cyprus,Import price index,56.00528846153846
2019,Czechia,Agricultural commodity price index,57.776785714285715
2019,Czechia,Harmonised index of consumer prices,55.27766666666666
2019,Czechia,Import price index,55.12339743589744
2019,Czechia,Producer price index,53.744791666666664
2019,Denmark,Agricultural commodity price index,56.736000000000004
2019,Denmark,Harmonised index of consumer prices,53.27932692307693
2019,Denmark,Import price index,57.048557692307696
2019,Denmark,Producer price index,52.62916666666666
2019,Estonia,Harmonised index of consumer prices,58.53073333333334
2019,Estonia,Import price index,56.573557692307695
2019,Euro area - 19 countries  (2015-2022),Harmonised index of consumer prices,53.22227564102564
2019,Euro area - 19 countries  (2015-2022),Producer price index,-0.8378205128205127
2019,European Union - 27 countries (from 2020),Agricultural commodity price index,54.62795138888889
2019,European Union - 27 countries (from 2020),Harmonised index of consumer prices,54.13918269230769
2019,European Union - 27 countries (from 2020),Producer price index,52.60833333333333
2019,Finland,Agricultural commodity price index,53.76060606060606
2019,Finland,Harmonised index of consumer prices,52.70166666666667
2019,Finland,Import price index,54.369902912621356
2019,Finland,Producer price index,55.11416666666666
2019,France,Agricultural commodity price index,56.57771739130435
2019,France,Harmonised index of consumer prices,55.11653846153846
2019,France,Import price index,56.55320512820512
2019,France,Producer price index,52.34413580246913
2019,Germany,Agricultural commodity price index,58.695155038759694
2019,Germany,Harmonised index of consumer prices,55.658012820512816
2019,Germany,Import price index,55.17371794871795
2019,Germany,Producer price index,53.836111111111116
2019,Greece,Agricultural commodity price index,50.47840909090909
2019,Greece,Harmonised index of consumer prices,50.385416666666664
2019,Greece,Import price index,55.334775641025644
2019,Greece,Producer price index,50.454166666666666
2019,Hungary,Agricultural commodity price index,61.67030651340996
2019,Hungary,Harmonised index of consumer prices,59.04455000000001
2019,Hungary,Import price index,63.405448717948715
2019,Hungary,Producer price index,59.15
2019,Iceland,Harmonised index of consumer prices,54.811049999999994
2019,Ireland,Agricultural commodity price index,55.51277777777777
2019,Ireland,Harmonised index of consumer prices,47.56602564102564
2019,Ireland,Import price index,54.547916666666666
2019,Ireland,Producer price index,52.949999999999996
2019,Italy,Agricultural commodity price index,51.937681159420286
2019,Italy,Harmonised index of consumer prices,52.09567307692308
2019,Italy,Import price index,54.0988782051282
2019,Italy,Producer price index,53.88950617283951
2019,Latvia,Agricultural commodity price index,68.35952380952381
2019,Latvia,Harmonised index of consumer prices,58.64895833333334
2019,Latvia,Import price index,57.414125200642054
2019,Lithuania,Agricultural commodity price index,65.23372093023255
2019,Lithuania,Harmonised index of consumer prices,58.650144230769236
2019,Lithuania,Import price index,59.2301282051282
2019,Lithuania,Producer price index,53.193333333333335
2019,Luxembourg,Agricultural commodity price index,54.13039215686275
2019,Luxembourg,Harmonised index of consumer prices,55.35176282051282
2019,Luxembourg,Import price index,56.313782051282054
2019,Malta,Agricultural commodity price index,58.01744791666667
2019,Malta,Harmonised index of consumer prices,56.17889999999999
2019,Malta,Import price index,59.84967637540453
2019,Netherlands,Agricultural commodity price index,55.25354166666667
2019,Netherlands,Harmonised index of consumer prices,59.205849358974355
2019,Netherlands,Import price index,56.035737179487185
2019,Netherlands,Producer price index,50.224242424242426
2019,Norway,Harmonised index of consumer prices,54.87932692307692
2019,Norway,Producer price index,60.32777777777778
2019,Poland,Agricultural commodity price index,68.984375
2019,Poland,Harmonised index of consumer prices,60.7863782051282
2019,Poland,Import price index,60.795833333333334
2019,Poland,Producer price index,56.26133333333334
2019,Portugal,Agricultural commodity price index,53.965461847389555
2019,Portugal,Harmonised index of consumer prices,51.85301282051282
2019,Portugal,Import price index,54.25224358974359
2019,Portugal,Producer price index,53.982499999999995
2019,Romania,Agricultural commodity price index,65.13033707865168
2019,Romania,Harmonised index of consumer prices,57.56165064102564
2019,Romania,Import price index,68.39887820512821
2019,Romania,Producer price index,57.578508771929826
2019,Slovakia,Agricultural commodity price index,54.92509578544062
2019,Slovakia,Harmonised index of consumer prices,56.32821666666667
2019,Slovakia,Import price index,59.81093247588424
2019,Slovakia,Producer price index,
2019,Slovenia,Agricultural commodity price index,57.296317829457365
2019,Slovenia,Harmonised index of consumer prices,55.09558333333333
2019,Slovenia,Import price index,53.91993569131832
2019,Slovenia,Producer price index,52.259313725490195
2019,Spain,Agricultural commodity price index,47.78847517730497
2019,Spain,Harmonised index of consumer prices,52.6249358974359
2019,Spain,Import price index,56.30384615384615
2019,Spain,Producer price index,51.562654320987654
2019,Sweden,Agricultural commodity price index,62.31645833333334
2019,Sweden,Harmonised index of consumer prices,56.57022435897436
2019,Sweden,Import price index,64.24807692307692
2019,Sweden,Producer price index,67.85
2019,Switzerland,Harmonised index of consumer prices,51.27101666666667
2019,Switzerland,Producer price index,51.11666666666667
2020,Austria,Agricultural commodity price index,60.18295880149813
2020,Austria,Harmonised index of consumer prices,55.40731666666667
2020,Austria,Import price index,54.524839743589745
2020,Austria,Producer price index,53.520833333333336
2020,Belgium,Agricultural commodity price index,53.86133333333333
2020,Belgium,Harmonised index of consumer prices,56.25527243589744
2020,Belgium,Import price index,55.28445512820513
2020,Belgium,Producer price index,55.645833333333336
2020,Bulgaria,Agricultural commodity price index,54.928958333333334
2020,Bulgaria,Harmonised index of consumer prices,58.53435897435898
2020,Bulgaria,Import price index,56.65320512820512
2020,Bulgaria,Producer price index,57.461333333333336
2020,Croatia,Agricultural commodity price index,58.07801418439716
2020,Croatia,Harmonised index of consumer prices,52.84998397435897
2020,Croatia,Import price index,52.77179487179487
2020,Croatia,Producer price index,53.90454545454545
2020,Cyprus,Agricultural commodity price index,50.605252525252524
2020,Cyprus,Harmonised index of consumer prices,50.56229166666667
2020,Cyprus,Import price index,54.69244372990353
2020,Czechia,Agricultural commodity price index,50.87103174603175
2020,Czechia,Harmonised index of consumer prices,56.950333333333326
2020,Czechia,Import price index,55.26442307692308
2020,Czechia,Producer price index,52.18958333333333
2020,Denmark,Agricultural commodity price index,55.828289473684215
2020,Denmark,Harmonised index of consumer prices,52.47740384615385
2020,Denmark,Import price index,56.1875
2020,Denmark,Producer price index,53.2125
2020,Estonia,Harmonised index of consumer prices,56.49501666666667
2020,Estonia,Import price index,54.762258064516125
2020,Euro area - 19 countries  (2015-2022),Harmonised index of consumer prices,53.83152243589744
2020,Euro area - 19 countries  (2015-2022),Producer price index,1.9865384615384614
2020,European Union - 27 countries (from 2020),Agricultural commodity price index,52.62777777777777
2020,European Union - 27 countries (from 2020),Harmonised index of consumer prices,54.78314102564103
2020,European Union - 27 countries (from 2020),Producer price index,54.83302469135803
2020,Finland,Agricultural commodity price index,50.36363636363637
2020,Finland,Harmonised index of consumer prices,53.25793402777778
2020,Finland,Import price index,54.282324058919805
2020,Finland,Producer price index,54.5375
2020,France,Agricultural commodity price index,56.77192028985507
2020,France,Harmonised index of consumer prices,54.90636217948718
2020,France,Import price index,55.93060897435897
2020,France,Producer price index,53.20555555555555
2020,Germany,Agricultural commodity price index,55.05562015503876
2020,Germany,Harmonised index of consumer prices,56.32067307692307
2020,Germany,Import price index,53.83189102564102
2020,Germany,Producer price index,55.78024691358024
2020,Greece,Agricultural commodity price index,48.94734848484848
2020,Greece,Harmonised index of consumer prices,50.99911858974359
2020,Greece,Import price index,53.88701923076923
2020,Greece,Producer price index,50.63916666666667
2020,Hungary,Agricultural commodity price index,66.52528735632184
2020,Hungary,Harmonised index of consumer prices,62.523116666666674
2020,Hungary,Import price index,66.4886217948718
2020,Hungary,Producer price index,62.73333333333333
2020,Iceland,Harmonised index of consumer prices,57.478566666666666
2020,Ireland,Agricultural commodity price index,53.355932203389834
2020,Ireland,Harmonised index of consumer prices,46.91891025641026
2020,Ireland,Import price index,60.0125
2020,Ireland,Producer price index,51.925000000000004
2020,Italy,Agricultural commodity price index,52.3
2020,Italy,Harmonised index of consumer prices,52.944871794871794
2020,Italy,Import price index,51.70096153846154
2020,Italy,Producer price index,56.44104938271605
2020,Latvia,Agricultural commodity price index,62.775198412698415
2020,Latvia,Harmonised index of consumer prices,57.49263888888889
2020,Latvia,Import price index,56.13285256410256
2020,Lithuania,Agricultural commodity price index,58.974224806201555
2020,Lithuania,Harmonised index of consumer prices,57.37057692307692
2020,Lithuania,Import price index,57.47822580645161
2020,Lithuania,Producer price index,54.8675
2020,Luxembourg,Agricultural commodity price index,53.285784313725486
2020,Luxembourg,Harmonised index of consumer prices,56.79530448717948
2020,Luxembourg,Import price index,57.99855769230769
2020,Malta,Agricultural commodity price index,53.55026041666667
2020,Malta,Harmonised index of consumer prices,56.28218333333333
2020,Malta,Import price index,57.368327974276525
2020,Netherlands,Agricultural commodity price index,50.54083333333333
2020,Netherlands,Harmonised index of consumer prices,58.92692307692308
2020,Netherlands,Import price index,55.38253205128205
2020,Netherlands,Producer price index,53.03219696969697
2020,Norway,Harmonised index of consumer prices,57.43942307692307
2020,Norway,Producer price index,61.49305555555556
2020,Poland,Agricultural commodity price index,68.705625
2020,Poland,Harmonised index of consumer prices,60.607371794871796
2020,Poland,Import price index,62.38461538461539
2020,Poland,Producer price index,58.314
2020,Portugal,Agricultural commodity price index,53.14960317460318
2020,Portugal,Harmonised index of consumer prices,52.337964743589744
2020,Portugal,Import price index,53.39823717948718
2020,Portugal,Producer price index,53.542500000000004
2020,Romania,Agricultural commodity price index,67.03239700374533
2020,Romania,Harmonised index of consumer prices,59.102051282051285
2020,Romania,Import price index,66.08573717948718
2020,Romania,Producer price index,59.80614035087719
2020,Slovakia,Agricultural commodity price index,55.65904761904762
2020,Slovakia,Harmonised index of consumer prices,54.88288333333334
2020,Slovakia,Import price index,58.76420545746388
2020,Slovakia,Producer price index,
2020,Slovenia,Agricultural commodity price index,55.23448275862069
2020,Slovenia,Harmonised index of consumer prices,56.07775
2020,Slovenia,Import price index,54.27624398073836
2020,Slovenia,Producer price index,53.99313725490196
2020,Spain,Agricultural commodity price index,49.783687943262414
2020,Spain,Harmonised index of consumer prices,53.81899038461539
2020,Spain,Import price index,53.86810897435897
2020,Spain,Producer price index,53.9320987654321
2020,Sweden,Agricultural commodity price index,64.49979166666667
2020,Sweden,Harmonised index of consumer prices,57.005
